ID_REF	GSM484477	GSM484478	GSM484452	GSM484473	GSM484475	GSM484459	GSM484483	GSM484489	GSM484462	GSM484458	GSM484481	GSM484455	GSM484485	GSM484472	GSM484448	GSM484468	GSM484484	GSM484460	GSM484464	GSM484451	GSM484466	GSM484480	GSM484471	GSM484450	GSM484469	GSM484470	GSM484457	GSM484488	GSM484487	GSM484456	GSM484463	GSM484449	GSM484476	GSM484454	GSM484486	GSM484474	GSM484461	GSM484482	GSM484465	GSM484467	GSM484453	GSM484479
ILMN_2357419	274.1028	205.28099999999998	88.63011	62.886540000000004	327.9333	216.1608	81.80169000000001	87.15432	185.398	117.07700000000001	97.11841	117.9721	152.195	570.0081	137.2434	162.4227	122.4955	95.71236	104.7217	492.3961	223.2851	120.8868	216.2066	86.34593000000001	131.7749	144.6112	94.67796	133.6517	128.9875	320.4647	362.5456	448.3336	168.8281	167.34099999999998	158.2262	341.7586	174.5645	114.9215	103.6074	144.589	212.5149	49.00439
ILMN_1664543	2494.511	592.4327	231.5012	170.4205	458.2211	1664.493	215.4386	91.85244	210.8256	69.65454	69.7643	492.6898	695.4739	1871.4260000000002	59.88506999999999	1529.239	215.6167	129.6456	254.9146	1297.219	297.5844	69.82059	112.8408	128.1039	115.4926	241.2062	200.9096	84.03085	154.3821	981.4108	2172.369	1621.526	625.8696	175.9951	348.8238	928.9838	607.9599	277.5393	261.3188	88.74159	108.6879	229.3683
ILMN_2335813	83.28944	47.34662	17.91927	17.40146	69.39365	202.9295	11.166030000000001	11.10505	25.475189999999998	21.23491	25.20081	43.57772	68.01536999999999	176.1486	43.10903	64.90375	18.10839	30.54928	26.243190000000002	72.56801999999999	51.684779999999996	34.82437	19.79359	20.39549	27.86197	42.5563	27.2196	49.6956	24.609	130.89	120.7358	132.2587	36.13467	30.14043	22.06598	26.95275	43.043279999999996	45.81928	33.6351	28.6424	17.41987	30.03149
ILMN_2126706	219.4868	270.0638	71.98595	219.3371	234.6668	244.9963	110.5464	61.160180000000004	136.4661	36.76637	45.068090000000005	112.4028	284.775	386.885	75.39165	145.9944	99.01934	63.959469999999996	169.84099999999998	318.085	118.9982	103.2674	164.2598	82.04263	63.82025	96.66286	104.6521	76.05069	56.694230000000005	385.8036	294.8134	366.4396	143.9504	173.6067	154.7552	504.8414	59.36221	98.30968	60.469930000000005	51.32545	80.77733	77.63009
ILMN_1819953	7.748129	47.01654	-0.3859434	13.72585	33.01936	64.4101	29.92447	20.19471	10.99273	-4.470202	10.08398	5.8679879999999995	31.664820000000002	42.90614	6.219523000000001	26.7151	18.26804	11.795869999999999	35.22217	74.56136	30.65758	16.42398	21.27831	16.82123	8.994010000000001	12.415230000000001	15.4813	5.9014050000000005	17.741670000000003	52.20349	18.425539999999998	42.923840000000006	18.54064	21.78407	31.14443	52.99097	2.704405	10.804860000000001	6.538574	4.854746	12.123660000000001	20.11148
ILMN_1739428	6935.345	2731.2259999999997	1321.608	2002.0410000000002	2579.827	6289.656	2090.611	1112.988	2048.756	541.3008	865.148	1581.389	2674.4040000000005	5673.168000000001	634.4822	5350.7919999999995	1536.9089999999999	1283.265	2184.571	4002.91	2848.0429999999997	1279.305	2176.669	1095.235	1202.327	1769.271	1645.3129999999999	903.3485	1627.8270000000002	2731.5440000000003	5443.218000000001	4051.546	2637.195	1564.154	1988.415	4738.648	3922.6009999999997	2175.0170000000003	1540.4029999999998	1018.0189999999999	1582.487	1767.559
ILMN_1683792	662.558	319.9749	177.0434	141.5298	473.1328	467.3651	138.4351	61.941959999999995	213.6422	149.7145	127.0897	452.7057	547.9131	849.8417	186.4425	380.0471	154.0977	140.45	102.2308	529.4788	320.9507	156.8248	104.3219	121.1322	139.5099	153.3462	157.4332	140.2215	70.6101	556.062	1297.7169999999999	1258.111	167.1873	198.91400000000002	134.2177	675.6306	341.0819	196.3735	273.3529	159.6848	144.6745	79.37978000000001
ILMN_1722981	234.8426	466.3862	136.9435	330.9054	497.4983	422.4982	203.1149	145.6279	171.2573	132.6987	137.2211	149.8793	528.1787	562.962	175.9411	312.5277	188.3769	150.2086	404.0209	528.3568	244.5137	214.0473	293.2374	187.3051	161.1241	185.5585	215.2212	169.0191	168.2025	932.3881	586.9431	524.0502	335.8448	235.8685	458.8636	975.1882	216.8259	271.6698	139.7915	187.1074	223.1896	156.586
ILMN_1758250	257.0463	173.5108	111.3743	125.5765	193.6753	315.4671	176.9831	98.0032	125.6675	83.52776	90.36221	148.4882	200.2024	285.7319	75.95917	214.6703	127.5138	130.1215	113.2126	260.817	144.6499	136.8432	107.4912	104.6903	114.4795	105.6239	106.9164	105.7184	105.6959	252.9863	279.6635	345.1069	111.2443	136.8642	125.4554	293.6036	136.5117	82.8891	175.8912	109.1536	167.1694	126.4668
ILMN_1701621	871.6013	578.8884	216.8994	292.2435	547.0629	1638.6370000000002	162.0643	135.1169	238.7968	176.6626	165.2095	287.8235	765.7683	948.8369	150.7874	656.9836	296.425	244.5614	240.2321	1019.985	348.7518	120.8995	242.8972	111.9849	336.2728	209.9067	317.3261	203.1404	249.0783	944.1862	1074.474	1408.974	254.3222	255.3795	275.3938	435.2462	436.2743	189.9985	223.1414	218.84599999999998	286.5009	196.3089
ILMN_1801307	1880.4189999999999	950.796	642.572	777.5886	1107.201	2107.31	795.9338	631.4972	917.7286	424.8806	504.7913	755.9399	1484.295	2700.9990000000003	514.7537	1639.52	825.4612	449.5066	722.6813	1742.2079999999999	1045.379	657.493	889.7831	586.4863	689.3635	751.8962	622.0396	594.8439	550.9171	1814.89	2007.9979999999998	2213.946	808.7853	951.6596	898.3435	1795.234	1124.987	655.6953	1170.54	578.2858	608.9814	626.3362
ILMN_1784380	195.2119	127.79700000000001	68.5004	77.55597	101.9431	221.1196	83.80534	42.03087	60.27162	28.56595	44.97252	91.64562	141.795	125.6897	34.629329999999996	119.6469	76.22941999999999	41.751709999999996	70.87298	126.7742	100.5407	70.20318	56.508790000000005	19.44513	83.32112	106.6255	71.47369	29.38788	64.07613	66.9296	115.805	171.2048	114.1729	66.24419	36.35389	128.7239	94.94806	62.67663	38.60283	48.38542	30.468090000000004	59.1111
ILMN_1812995	248.4406	128.3281	86.32973	56.05704	311.2763	200.5418	61.40314	60.60125	84.60395	109.0326	66.03699	173.4789	158.9605	151.6106	69.99032	161.3421	81.22569	40.3623	66.30346	92.08321	104.8139	68.91528000000001	45.7658	66.32567	68.29375	188.9316	126.40899999999999	95.20331999999999	30.3316	340.7957	265.7458	175.5567	83.09805	124.354	70.99384	159.7287	104.2921	73.56418000000001	49.73744	127.1114	60.3296	45.15795
ILMN_1728677	727.9167	953.3569	163.7299	718.5894	613.8718	855.6383	692.52	564.1081	552.2736	158.6537	383.3618	300.9449	721.2519	967.6233	328.4812	839.0347	290.4989	423.7562	559.1437	1118.734	994.6786	619.7155	1069.475	405.0167	369.9548	439.1123	469.1442	149.4223	655.3798	957.5543	831.5645	1257.76	637.7968	623.2167	801.0751	1335.682	219.0826	344.7672	582.6821	226.9345	433.37199999999996	454.2396
ILMN_1768973	641.486	609.0969	440.5363	567.8391	769.3822	1638.264	466.58099999999996	437.3257	530.0139	283.0745	393.9073	327.5603	908.1566	1293.91	512.5408	356.5062	381.7283	348.6347	419.3335	1236.244	523.9395	444.3685	470.9871	313.3985	469.409	485.7791	502.7643	464.5315	619.622	1294.399	947.1046	1004.445	340.2969	543.1733	444.8831	1029.546	294.3139	370.5639	596.5629	291.5399	347.7869	423.9601
ILMN_1800626	75.67058	77.77068	61.455619999999996	90.7177	48.77913	42.608670000000004	108.1405	111.495	81.17768000000001	110.1934	116.1936	110.9019	55.417390000000005	22.52388	144.4865	63.5374	104.9055	96.81567	105.9243	51.183640000000004	60.274609999999996	87.91208	106.9975	128.4377	97.01561	121.4092	132.6435	88.99503	100.4997	49.50973	38.66108	42.12577	99.35025999999999	77.78098	94.28363	37.64829	80.14608	85.66266999999999	107.8194	77.96826999999999	114.5647	166.2323
